,PIB,period,vin_baguette_fromage_index,axe_politique,cpi_change,gas_price,tourists_number,CAC40,dette,unemployment,inflation
0,"593,40",2018T3,23.15,centre droite,"2,3%",8.1051,25021,5520.330078,2089.3,9.0,2.6
1,"597,90",2018T4,23.263333333333335,centre droite,"1,9%",8.1051,14395,5076.549805,2109,8.8,2.2
2,"604,70",2019T1,23.203333333333333,centre droite,"1,3%",7.7704,13660,5004.649902,2126.8,8.8,1.6
3,"610,90",2019T2,23.240000000000002,centre droite,"1,0%",7.7704,18681,5568.200195,2151.1,8.4,1.1
4,"612,50",2019T3,23.453333333333333,centre droite,"1,1%",8.7398,25236,5500.910156,2164.8,8.4,1.3
5,"611,90",2019T4,23.043333333333333,centre droite,"1,0%",8.7398,14627,5749.47998,2166.6,8.2,1.2
6,"584,40",2020T1,22.606666666666666,centre droite,"1,4%",7.5512,0,5822.040039,2209.2,7.9,1.6
7,"524,80",2020T2,,centre droite,"0,2%",7.5512,1501,4413.140137,2323.3,7.1,0.4
8,"600,60",2020T3,22.98333333333333,centre droite,"0,2%",7.9164,18994,4797.060059,2342.8,9.0,0.2
9,600,2020T4,,centre droite,"0,2%",7.9164,3515,4614.950195,2350.0,8.1,0.2
10,"606,40",2021T1,23.450000000000003,centre droite,"0,4%",7.2373,5170,5441.430176,2398.9,8.2,0.8
11,"616,70",2021T2,23.943333333333335,centre droite,"1,4%",7.2373,7642,6285.509766,2467.6,7.9,1.8
12,"635,70",2021T3,24.403333333333332,centre droite,"1,9%",8.2601,21562,6657.950195,2509.0,8.0,2.4
13,"641,50",2021T4,25.253333333333334,centre droite,"2,8%",8.2601,12794,6870.279785,2512.8,7.4,3.4
14,"642,20",2022T1,26.400000000000002,centre droite,"3,6%",8.9574,11927,7052.299805,2546.4,7.4,4.2
15,"651,40",2022T2,27.633333333333333,centre droite,"5,2%",8.9574,19169,6469.310059,2599.1,7.4,5.8
16,"659,20",2022T3,28.450000000000003,centre droite,"5,8%",10.5432,25549,6447.180176,2651.8,7.3,6.6
