Date  cpi_change
28/05/2023  5,9%
14/04/2023  5,7%
15/03/2023  6,3%
28/02/2023  6,2%
17/02/2023  6,0%
31/01/2023  6,0%
13/01/2023  5,9%
04/01/2023  5,9%
15/12/2022  6,2%
30/11/2022  6,2%
15/11/2022  6,2%
28/10/2022  6,2%
14/10/2022  5,6%
30/09/2022  5,6%
15/09/2022  5,9%
31/08/2022  5,8%
12/08/2022  6,1%
29/07/2022  6,1%
13/07/2022  5,8%
30/06/2022  5,8%
15/06/2022  5,2%
31/05/2022  5,2%
13/05/2022  4,8%
29/04/2022  4,8%
15/04/2022  4,5%
31/03/2022  4,5%
15/03/2022  3,6%
25/02/2022  3,6%
18/02/2022  2,9%
01/02/2022  2,9%
14/01/2022  2,8%
04/01/2022  2,8%
15/12/2021  2,8%
30/11/2021  2,8%
16/11/2021  2,6%
29/10/2021  2,6%
15/10/2021  2,2%
30/09/2021  2,1%
15/09/2021  1,9%
31/08/2021  1,9%
13/08/2021  1,2%
30/07/2021  1,2%
13/07/2021  1,5%
30/06/2021  1,5%
15/06/2021  1,4%
28/05/2021  1,4%
12/05/2021  1,2%
30/04/2021  1,3%
15/04/2021  1,1%
31/03/2021  1,1%
16/03/2021  0,6%
26/02/2021  0,4%
19/02/2021  0,6%
02/02/2021  0,6%
15/01/2021  0,0%
06/01/2021  0,0%
15/12/2020  0,2%
27/11/2020  0,2%
13/11/2020  0,0%
30/10/2020  0,0%
15/10/2020  0,0%
30/09/2020  0,1%
15/09/2020  0,2%
28/08/2020  0,2%
14/08/2020  0,8%
31/07/2020  0,8%
16/07/2020  0,2%
30/06/2020  0,1%
12/06/2020  0,4%
29/05/2020  0,2%
15/05/2020  0,3%
30/04/2020  0,4%
15/04/2020  0,7%
31/03/2020  0,6%
13/03/2020  1,4%
28/02/2020  1,4%
20/02/2020  1,5%
31/01/2020  1,5%
15/01/2020  1,5%
03/01/2020  1,4%
12/12/2019  1,0%
29/11/2019  1,0%
14/11/2019  0,8%
31/10/2019  0,7%
15/10/2019  0,9%
27/09/2019  0,9%
12/09/2019  1,0%
30/08/2019  1,1%
14/08/2019  1,1%
31/07/2019  1,1%
11/07/2019  1,2%
28/06/2019  1,2%
14/06/2019  0,9%
29/05/2019  1,0%
15/05/2019  1,3%
30/04/2019  1,2%
11/04/2019  1,1%
29/03/2019  1,1%
14/03/2019  1,3%
28/02/2019  1,3%
21/02/2019  1,2%
31/01/2019  1,2%
15/01/2019  1,6%
04/01/2019  1,6%
13/12/2018  1,9%
30/11/2018  1,9%
14/11/2018  2,2%
31/10/2018  2,2%
11/10/2018  2,2%
28/09/2018  2,2%
13/09/2018  2,3%
31/08/2018  2,3%
14/08/2018  2,3%
31/07/2018  2,3%
12/07/2018  2,0%
29/06/2018  2,1%
14/06/2018  2,0%
31/05/2018  2,0%
15/05/2018  1,6%
27/04/2018  1,6%
12/04/2018  1,6%
30/03/2018  1,5%
