"Label";"Monthly average consumer prices in metropolitan France - Baguette (1 kg)";"Codes"
"idBank";"000442423";""
"Last update";"12/05/2023 08:45";""
"Period";"";""
"2023-04";"4.01";"A"
"2023-03";"4.0";"A"
"2023-02";"3.96";"A"
"2023-01";"3.93";"A"
"2022-12";"3.85";"A"
"2022-11";"3.83";"A"
"2022-10";"3.81";"A"
"2022-09";"3.78";"A"
"2022-08";"3.78";"A"
"2022-07";"3.74";"A"
"2022-06";"3.72";"A"
"2022-05";"3.7";"A"
"2022-04";"3.68";"A"
"2022-03";"3.66";"A"
"2022-02";"3.64";"A"
"2022-01";"3.64";"A"
"2021-12";"3.61";"A"
"2021-11";"3.6";"A"
"2021-10";"3.59";"A"
"2021-09";"3.59";"A"
"2021-08";"3.59";"A"
"2021-07";"3.58";"A"
"2021-06";"3.58";"A"
"2021-05";"3.57";"A"
"2021-04";"3.57";"A"
"2021-03";"3.57";"A"
"2021-02";"3.56";"A"
"2021-01";"3.56";"A"
"2020-12";"";"O"
"2020-11";"";"O"
"2020-10";"3.54";"A"
"2020-09";"3.53";"A"
"2020-08";"3.52";"A"
"2020-07";"3.52";"A"
"2020-06";"";"O"
"2020-05";"";"O"
"2020-04";"";"O"
"2020-03";"3.51";"A"
"2020-02";"3.52";"A"
"2020-01";"3.52";"A"
"2019-12";"3.53";"A"
"2019-11";"3.53";"A"
"2019-10";"3.53";"A"
"2019-09";"3.52";"A"
"2019-08";"3.52";"A"
"2019-07";"3.51";"A"
"2019-06";"3.52";"A"
"2019-05";"3.52";"A"
"2019-04";"3.51";"A"
"2019-03";"3.51";"A"
"2019-02";"3.51";"A"
"2019-01";"3.51";"A"
"2018-12";"3.51";"A"
"2018-11";"3.51";"A"
"2018-10";"3.51";"A"
"2018-09";"3.51";"A"
"2018-08";"3.51";"A"
"2018-07";"3.51";"A"
"2018-06";"3.5";"A"
"2018-05";"3.5";"A"
"2018-04";"3.5";"A"
"2018-03";"3.49";"A"
"2018-02";"3.49";"A"
"2018-01";"3.49";"A"
"2017-12";"3.49";"A"
"2017-11";"3.48";"A"
"2017-10";"3.48";"A"
"2017-09";"3.48";"A"
"2017-08";"3.47";"A"
"2017-07";"3.47";"A"
"2017-06";"3.47";"A"
"2017-05";"3.47";"A"
"2017-04";"3.47";"A"
"2017-03";"3.47";"A"
"2017-02";"3.46";"A"
"2017-01";"3.46";"A"
"2016-12";"3.48";"A"
"2016-11";"3.48";"A"
"2016-10";"3.47";"A"
"2016-09";"3.47";"A"
"2016-08";"3.47";"A"
"2016-07";"3.47";"A"
"2016-06";"3.47";"A"
"2016-05";"3.47";"A"
"2016-04";"3.47";"A"
"2016-03";"3.47";"A"
"2016-02";"3.46";"A"
"2016-01";"3.46";"A"
"2015-12";"3.46";"A"
"2015-11";"3.45";"A"
"2015-10";"3.46";"A"
"2015-09";"3.46";"A"
"2015-08";"3.46";"A"
"2015-07";"3.45";"A"
"2015-06";"3.46";"A"
"2015-05";"3.46";"A"
"2015-04";"3.45";"A"
"2015-03";"3.46";"A"
"2015-02";"3.45";"A"
"2015-01";"3.45";"A"
"2014-12";"3.48";"A"
"2014-11";"3.48";"A"
"2014-10";"3.48";"A"
"2014-09";"3.47";"A"
"2014-08";"3.47";"A"
"2014-07";"3.47";"A"
"2014-06";"3.47";"A"
"2014-05";"3.48";"A"
"2014-04";"3.47";"A"
"2014-03";"3.47";"A"
"2014-02";"3.48";"A"
"2014-01";"3.48";"A"
"2013-12";"3.48";"A"
"2013-11";"3.48";"A"
"2013-10";"3.48";"A"
"2013-09";"3.48";"A"
"2013-08";"3.47";"A"
"2013-07";"3.47";"A"
"2013-06";"3.47";"A"
"2013-05";"3.47";"A"
"2013-04";"3.47";"A"
"2013-03";"3.47";"A"
"2013-02";"3.48";"A"
"2013-01";"3.47";"A"
"2012-12";"3.51";"A"
"2012-11";"3.5";"A"
"2012-10";"3.49";"A"
"2012-09";"3.47";"A"
"2012-08";"3.46";"A"
"2012-07";"3.44";"A"
"2012-06";"3.44";"A"
"2012-05";"3.44";"A"
"2012-04";"3.45";"A"
"2012-03";"3.45";"A"
"2012-02";"3.45";"A"
"2012-01";"3.43";"A"
"2011-12";"3.43";"A"
"2011-11";"3.43";"A"
"2011-10";"3.44";"A"
"2011-09";"3.44";"A"
"2011-08";"3.44";"A"
"2011-07";"3.43";"A"
"2011-06";"3.43";"A"
"2011-05";"3.42";"A"
"2011-04";"3.42";"A"
"2011-03";"3.41";"A"
"2011-02";"3.41";"A"
"2011-01";"3.39";"A"
"2010-12";"3.38";"A"
"2010-11";"3.37";"A"
"2010-10";"3.36";"A"
"2010-09";"3.35";"A"
"2010-08";"3.34";"A"
"2010-07";"3.33";"A"
"2010-06";"3.34";"A"
"2010-05";"3.35";"A"
"2010-04";"3.34";"A"
"2010-03";"3.34";"A"
"2010-02";"3.34";"A"
"2010-01";"3.34";"A"
"2009-12";"3.34";"A"
"2009-11";"3.35";"A"
"2009-10";"3.35";"A"
"2009-09";"3.35";"A"
"2009-08";"3.34";"A"
"2009-07";"3.34";"A"
"2009-06";"3.34";"A"
"2009-05";"3.34";"A"
"2009-04";"3.35";"A"
"2009-03";"3.35";"A"
"2009-02";"3.35";"A"
"2009-01";"3.35";"A"
"2008-12";"3.35";"A"
"2008-11";"3.35";"A"
"2008-10";"3.35";"A"
"2008-09";"3.35";"A"
"2008-08";"3.34";"A"
"2008-07";"3.32";"A"
"2008-06";"3.31";"A"
"2008-05";"3.31";"A"
"2008-04";"3.31";"A"
"2008-03";"3.3";"A"
"2008-02";"3.3";"A"
"2008-01";"3.28";"A"
"2007-12";"3.27";"A"
"2007-11";"3.27";"A"
"2007-10";"3.25";"A"
"2007-09";"3.23";"A"
"2007-08";"3.18";"A"
"2007-07";"3.15";"A"
"2007-06";"3.14";"A"
"2007-05";"3.14";"A"
"2007-04";"3.14";"A"
"2007-03";"3.14";"A"
"2007-02";"3.13";"A"
"2007-01";"3.13";"A"
"2006-12";"3.12";"A"
"2006-11";"3.11";"A"
"2006-10";"3.1";"A"
"2006-09";"3.09";"A"
"2006-08";"3.06";"A"
"2006-07";"3.06";"A"
"2006-06";"3.05";"A"
"2006-05";"3.05";"A"
"2006-04";"3.05";"A"
"2006-03";"3.04";"A"
"2006-02";"3.04";"A"
"2006-01";"3.03";"A"
"2005-12";"3.03";"A"
"2005-11";"3.03";"A"
"2005-10";"3.03";"A"
"2005-09";"3.02";"A"
"2005-08";"3.0";"A"
"2005-07";"2.99";"A"
"2005-06";"2.99";"A"
"2005-05";"2.99";"A"
"2005-04";"2.99";"A"
"2005-03";"2.99";"A"
"2005-02";"2.98";"A"
"2005-01";"2.97";"A"
"2004-12";"2.98";"A"
"2004-11";"2.98";"A"
"2004-10";"2.97";"A"
"2004-09";"2.97";"A"
"2004-08";"2.96";"A"
"2004-07";"2.94";"A"
"2004-06";"2.93";"A"
"2004-05";"2.93";"A"
"2004-04";"2.93";"A"
"2004-03";"2.93";"A"
"2004-02";"2.93";"A"
