"Libellé";"Indice de prix de production de l'industrie française pour le marché français − CPF 10.51 − Camembert : MN ";"Codes"
"idBank";"010533987";""
"Dernière mise à jour";"28/04/2023 08:45";""
"Période";"";""
"2023-03";"(s)";"Q"
"2023-02";"117.8";"P"
"2023-01";"117.3";"P"
"2022-12";"113.7";"A"
"2022-11";"115.8";"A"
"2022-10";"114.5";"A"
"2022-09";"113.7";"A"
"2022-08";"113.9";"A"
"2022-07";"110.0";"A"
"2022-06";"108.7";"A"
"2022-05";"108.0";"A"
"2022-04";"108.4";"A"
"2022-03";"105.4";"A"
"2022-02";"103.2";"A"
"2022-01";"103.9";"A"
"2021-12";"99.1";"A"
"2021-11";"102.2";"A"
"2021-10";"100.9";"A"
"2021-09";"102.2";"A"
"2021-08";"103.4";"A"
"2021-07";"102.7";"A"
"2021-06";"103.1";"A"
"2021-05";"103.2";"A"
"2021-04";"104.6";"A"
"2021-03";"102.5";"A"
"2021-02";"102.3";"A"
"2021-01";"102.7";"A"
"2020-12";"98.3";"A"
"2020-11";"101.2";"A"
"2020-10";"101.3";"A"
"2020-09";"102.1";"A"
"2020-08";"102.1";"A"
"2020-07";"102.9";"A"
"2020-06";"102.0";"A"
"2020-05";"101.5";"A"
"2020-04";"102.9";"A"
"2020-03";"100.7";"A"
"2020-02";"100.0";"A"
"2020-01";"100.7";"A"
"2019-12";"97.9";"A"
"2019-11";"102.0";"A"
"2019-10";"102.7";"A"
"2019-09";"103.0";"A"
"2019-08";"102.8";"A"
"2019-07";"102.3";"A"
"2019-06";"102.4";"A"
"2019-05";"103.0";"A"
"2019-04";"102.3";"A"
"2019-03";"102.8";"A"
"2019-02";"101.0";"A"
"2019-01";"100.9";"A"
"2018-12";"101.3";"A"
"2018-11";"99.6";"A"
"2018-10";"100.9";"A"
"2018-09";"98.4";"A"
"2018-08";"102.8";"A"
"2018-07";"104.0";"A"
"2018-06";"101.7";"A"
"2018-05";"102.8";"A"
"2018-04";"101.8";"A"
"2018-03";"101.7";"A"
"2018-02";"101.1";"A"
"2018-01";"100.4";"A"
"2017-12";"99.3";"A"
"2017-11";"98.3";"A"
"2017-10";"99.0";"A"
