Période;Prix au détail du gaz TTC toutes tes;Prix au détail du gaz TTC tranche D1;Prix au détail du gaz TTC tranche D2;Prix au détail du gaz TTC tranche D3
PERIODE;PX_GAZ_D_TTES_TRANCHES;PX_GAZ_D_D1;PX_GAZ_D_D2;PX_GAZ_D_D3
2023-05;;;;
2023-04;;;;
2023-03;;;;
2023-02;;;;
2023-01;;;;
2022-12;10.5432;16.2949;10.0822;8.7065
2022-11;10.5432;16.2949;10.0822;8.7065
2022-10;10.5432;16.2949;10.0822;8.7065
2022-09;10.5432;16.2949;10.0822;8.7065
2022-08;10.5432;16.2949;10.0822;8.7065
2022-07;10.5432;16.2949;10.0822;8.7065
2022-06;8.9574;13.9934;8.5947;7.4489
2022-05;8.9574;13.9934;8.5947;7.4489
2022-04;8.9574;13.9934;8.5947;7.4489
2022-03;8.9574;13.9934;8.5947;7.4489
2022-02;8.9574;13.9934;8.5947;7.4489
2022-01;8.9574;13.9934;8.5947;7.4489
2021-12;8.2601;14.0997;7.8786;6.6121
2021-11;8.2601;14.0997;7.8786;6.6121
2021-10;8.2601;14.0997;7.8786;6.6121
2021-09;8.2601;14.0997;7.8786;6.6121
2021-08;8.2601;14.0997;7.8786;6.6121
2021-07;8.2601;14.0997;7.8786;6.6121
2021-06;7.2373;12.0518;6.9097;5.4473
2021-05;7.2373;12.0518;6.9097;5.4473
2021-04;7.2373;12.0518;6.9097;5.4473
2021-03;7.2373;12.0518;6.9097;5.4473
2021-02;7.2373;12.0518;6.9097;5.4473
2021-01;7.2373;12.0518;6.9097;5.4473
2020-12;7.9164;13.2239;7.5134;5.6991
2020-11;7.9164;13.2239;7.5134;5.6991
2020-10;7.9164;13.2239;7.5134;5.6991
2020-09;7.9164;13.2239;7.5134;5.6991
2020-08;7.9164;13.2239;7.5134;5.6991
2020-07;7.9164;13.2239;7.5134;5.6991
2020-06;7.5512;12.8684;7.1958;5.6821
2020-05;7.5512;12.8684;7.1958;5.6821
2020-04;7.5512;12.8684;7.1958;5.6821
2020-03;7.5512;12.8684;7.1958;5.6821
2020-02;7.5512;12.8684;7.1958;5.6821
2020-01;7.5512;12.8684;7.1958;5.6821
2019-12;8.7398;14.0285;8.3919;5.9745
2019-11;8.7398;14.0285;8.3919;5.9745
2019-10;8.7398;14.0285;8.3919;5.9745
2019-09;8.7398;14.0285;8.3919;5.9745
2019-08;8.7398;14.0285;8.3919;5.9745
2019-07;8.7398;14.0285;8.3919;5.9745
2019-06;7.7704;14.6043;7.3782;6.2517
2019-05;7.7704;14.6043;7.3782;6.2517
2019-04;7.7704;14.6043;7.3782;6.2517
2019-03;7.7704;14.6043;7.3782;6.2517
2019-02;7.7704;14.6043;7.3782;6.2517
2019-01;7.7704;14.6043;7.3782;6.2517
2018-12;8.1051;16.2954;7.6293;6.2347
2018-11;8.1051;16.2954;7.6293;6.2347
2018-10;8.1051;16.2954;7.6293;6.2347
2018-09;8.1051;16.2954;7.6293;6.2347
2018-08;8.1051;16.2954;7.6293;6.2347
2018-07;8.1051;16.2954;7.6293;6.2347
2018-06;7.0003;13.6221;6.6478;5.601
2018-05;7.0003;13.6221;6.6478;5.601
2018-04;7.0003;13.6221;6.6478;5.601
2018-03;7.0003;13.6221;6.6478;5.601
2018-02;7.0003;13.6221;6.6478;5.601
2018-01;7.0003;13.6221;6.6478;5.601
2017-12;7.3634;14.8587;6.9514;5.6006
2017-11;7.3634;14.8587;6.9514;5.6006
2017-10;7.3634;14.8587;6.9514;5.6006
2017-09;7.3634;14.8587;6.9514;5.6006
2017-08;7.3634;14.8587;6.9514;5.6006
2017-07;7.3634;14.8587;6.9514;5.6006
2017-06;6.6798;13.0127;6.3869;5.4182
2017-05;6.6798;13.0127;6.3869;5.4182
2017-04;6.6798;13.0127;6.3869;5.4182
2017-03;6.6798;13.0127;6.3869;5.4182
