Libellé,idBank,Dernière mise à jour,Période,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
Arrivées dans l'hôtellerie - Total - Départements d'outre-mer - Série arrêtée,001717310,06/03/2019 15:11,,98.29 (A),97.11 (A),94.35 (A),97.0 (A),96.31 (A),70.84 (A),96.3 (A),108.73 (A),69.56 (A),88.65 (A),97.61 (A),103.44 (A),108.64 (A),97.93 (A),102.5 (A),99.3 (A),85.85 (A),76.8 (A),98.92 (A),109.23 (A),72.39 (A),97.36 (A),103.02 (A),113.07 (A),106.29 (A),102.79 (A),102.68 (A),100.0 (A),93.48 (A),72.62 (A),100.28 (A),111.86 (A),70.12 (A),93.43 (A),106.37 (A),105.43 (A),111.19 (A),96.16 (A),118.38 (A),96.68 (A),103.64 (A),75.57 (A),99.37 (A),120.48 (A),71.99 (A),97.76 (A),106.16 (A),114.43 (A),101.04 (A),97.54 (A),104.29 (A),97.46 (A),86.6 (A),72.35 (A),90.73 (A),106.73 (A),61.38 (A),96.46 (A),100.42 (A),107.21 (A),99.56 (A),97.64 (A),108.3 (A),104.71 (A),107.28 (A),78.01 (A),102.52 (A),115.67 (A),83.64 (A),110.23 (A),99.42 (A),119.74 (A),112.11 (A),97.33 (A),110.45 (A),100.97 (A),98.5 (A),80.28 (A),116.91 (A),119.06 (A),82.5 (A),113.71 (A),111.84 (A),125.61 (A),123.35 (A),104.63 (A),119.09 (A),119.94 (A),110.41 (A),103.94 (A),130.1 (A),143.15 (A),106.55 (A),127.01 (A),130.2 (A),145.62 (A),137.79 (A),134.18 (A),146.59 (A),135.42 (A),135.94 (A),105.06 (A),133.59 (A),150.13 (A),105.09 (A),132.56 (A),127.84 (A),143.9 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - France métropolitaine et Départements d'outre-mer - Série arrêtée,001717313,06/03/2019 15:11,,6098.89 (A),6691.69 (A),7929.4 (A),9034.22 (A),10261.47 (A),10657.34 (A),11854.01 (A),11885.33 (A),10523.48 (A),8965.51 (A),7026.75 (A),7141.78 (A),6416.32 (A),6732.66 (A),8129.98 (A),9403.86 (A),9985.35 (A),11433.86 (A),12413.71 (A),12212.7 (A),10835.58 (A),9541.79 (A),7292.13 (A),7381.95 (A),6556.0 (A),6929.03 (A),8447.04 (A),9207.86 (A),10165.81 (A),11159.09 (A),12190.21 (A),12299.95 (A),10892.2 (A),9288.95 (A),7576.96 (A),7401.1 (A),6369.74 (A),6831.69 (A),8583.02 (A),8915.39 (A),10575.92 (A),11278.35 (A),12148.31 (A),12913.8 (A),10733.55 (A),9419.13 (A),7489.75 (A),7469.36 (A),6436.96 (A),6866.71 (A),8161.49 (A),9221.22 (A),10169.53 (A),11081.97 (A),11758.75 (A),12855.61 (A),10578.81 (A),9457.2 (A),7154.72 (A),7623.0 (A),6549.44 (A),7137.62 (A),8201.67 (A),9322.93 (A),10746.37 (A),11257.64 (A),12618.72 (A),13060.64 (A),10977.57 (A),9672.09 (A),7090.51 (A),7283.75 (A),6456.12 (A),7277.17 (A),8616.28 (A),9039.9 (A),10493.82 (A),10944.59 (A),12670.94 (A),12332.24 (A),10689.47 (A),9867.35 (A),7621.3 (A),7885.62 (A),6990.26 (A),7388.3 (A),8689.73 (A),10224.29 (A),10544.57 (A),11631.42 (A),13071.88 (A),12940.9 (A),11414.8 (A),10131.45 (A),8063.82 (A),8266.99 (A),7138.32 (A),7516.78 (A),9335.08 (A),9758.09 (A),10829.64 (A),11888.72 (A),13065.13 (A),13411.5 (A),11574.17 (A),10436.61 (A),8266.61 (A),8127.07 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - France métropolitaine - Série arrêtée,001711123,06/03/2019 15:11,,6000.6 (A),6594.58 (A),7835.05 (A),8937.22 (A),10165.17 (A),10586.5 (A),11757.71 (A),11776.61 (A),10453.91 (A),8876.86 (A),6929.14 (A),7038.34 (A),6307.68 (A),6634.73 (A),8027.48 (A),9304.56 (A),9899.5 (A),11357.06 (A),12314.8 (A),12103.47 (A),10763.19 (A),9444.43 (A),7189.12 (A),7268.88 (A),6449.71 (A),6826.25 (A),8344.35 (A),9107.86 (A),10072.33 (A),11086.47 (A),12089.92 (A),12188.1 (A),10822.08 (A),9195.52 (A),7470.6 (A),7295.67 (A),6258.54 (A),6735.53 (A),8464.64 (A),8818.71 (A),10472.29 (A),11202.78 (A),12048.94 (A),12793.32 (A),10661.56 (A),9321.37 (A),7383.58 (A),7354.93 (A),6335.92 (A),6769.17 (A),8057.2 (A),9123.76 (A),10082.93 (A),11009.62 (A),11668.03 (A),12748.88 (A),10517.43 (A),9360.74 (A),7054.3 (A),7515.79 (A),6449.88 (A),7039.99 (A),8093.38 (A),9218.21 (A),10639.09 (A),11179.63 (A),12516.2 (A),12944.97 (A),10893.93 (A),9561.86 (A),6991.09 (A),7164.01 (A),6344.01 (A),7179.84 (A),8505.83 (A),8938.93 (A),10395.32 (A),10864.31 (A),12554.03 (A),12213.19 (A),10606.97 (A),9753.64 (A),7509.46 (A),7760.01 (A),6866.91 (A),7283.68 (A),8570.64 (A),10104.35 (A),10434.16 (A),11527.48 (A),12941.78 (A),12797.75 (A),11308.26 (A),10004.43 (A),7933.62 (A),8121.37 (A),7000.54 (A),7382.6 (A),9188.49 (A),9622.67 (A),10693.7 (A),11783.66 (A),12931.54 (A),13261.37 (A),11469.08 (A),10304.05 (A),8138.77 (A),7983.17 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - Guadeloupe - Série arrêtée,001717210,06/03/2019 15:11,,28.64 (A),31.13 (A),28.09 (A),27.52 (A),25.46 (A),20.32 (A),29.26 (A),29.02 (A),14.2 (A),18.75 (A),24.87 (A),29.44 (A),32.46 (A),29.41 (A),31.49 (A),29.98 (A),24.5 (A),23.53 (A),28.52 (A),34.35 (A),13.83 (A),21.56 (A),25.36 (A),31.1 (A),30.56 (A),29.54 (A),30.54 (A),29.71 (A),25.01 (A),22.74 (A),29.2 (A),29.72 (A),13.25 (A),21.39 (A),25.26 (A),29.92 (A),31.47 (A),33.13 (A),35.61 (A),29.01 (A),28.43 (A),22.23 (A),26.44 (A),34.23 (A),15.97 (A),20.05 (A),26.55 (A),33.48 (A),30.92 (A),31.2 (A),27.49 (A),26.37 (A),20.75 (A),16.42 (A),23.39 (A),26.7 (A),9.12 (A),21.34 (A),27.22 (A),25.66 (A),28.04 (A),27.06 (A),29.14 (A),26.82 (A),25.93 (A),16.73 (A),21.04 (A),22.77 (A),14.69 (A),17.31 (A),18.86 (A),27.73 (A),26.5 (A),24.93 (A),27.81 (A),21.58 (A),21.04 (A),19.33 (A),25.34 (A),25.41 (A),11.27 (A),20.98 (A),23.12 (A),31.22 (A),27.84 (A),30.37 (A),33.4 (A),33.99 (A),27.2 (A),28.59 (A),29.05 (A),31.58 (A),16.68 (A),23.09 (A),24.44 (A),33.06 (A),35.37 (A),34.99 (A),35.72 (A),31.33 (A),32.01 (A),23.13 (A),30.42 (A),33.3 (A),14.68 (A),22.18 (A),28.17 (A),34.02 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - Martinique - Série arrêtée,001717213,06/03/2019 15:11,,27.65 (A),30.41 (A),27.26 (A),27.6 (A),28.89 (A),18.75 (A),24.58 (A),33.32 (A),14.98 (A),17.96 (A),22.95 (A),26.84 (A),29.26 (A),28.91 (A),28.47 (A),26.06 (A),21.34 (A),18.28 (A),25.83 (A),32.23 (A),14.06 (A),18.09 (A),24.34 (A),28.07 (A),28.23 (A),30.41 (A),28.06 (A),25.4 (A),23.95 (A),14.07 (A),26.48 (A),32.97 (A),13.77 (A),17.45 (A),24.46 (A),25.51 (A),36.03 (A),27.78 (A),32.15 (A),26.43 (A),25.45 (A),13.93 (A),26.73 (A),33.73 (A),13.06 (A),20.32 (A),25.08 (A),24.7 (A),22.51 (A),25.6 (A),27.63 (A),25.27 (A),21.35 (A),17.4 (A),22.66 (A),28.43 (A),13.11 (A),20.77 (A),18.75 (A),31.03 (A),23.19 (A),26.84 (A),24.11 (A),26.12 (A),24.99 (A),17.54 (A),27.35 (A),33.27 (A),14.23 (A),21.05 (A),19.53 (A),25.08 (A),22.19 (A),23.66 (A),24.07 (A),22.46 (A),21.83 (A),16.47 (A),26.11 (A),29.49 (A),14.42 (A),21.48 (A),21.99 (A),26.8 (A),25.11 (A),25.7 (A),25.0 (A),28.53 (A),22.87 (A),21.09 (A),31.74 (A),35.17 (A),21.55 (A),23.86 (A),27.05 (A),32.14 (A),30.59 (A),35.86 (A),37.6 (A),31.86 (A),28.64 (A),18.78 (A),29.31 (A),38.51 (A),18.28 (A),23.79 (A),27.02 (A),30.66 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - Guyane - Série arrêtée,001717216,06/03/2019 15:11,,9.09 (A),9.29 (A),10.62 (A),9.36 (A),8.45 (A),8.01 (A),10.17 (A),10.87 (A),8.57 (A),9.11 (A),9.39 (A),9.02 (A),8.59 (A),8.08 (A),9.54 (A),9.27 (A),8.72 (A),8.8 (A),10.44 (A),7.73 (A),8.7 (A),10.26 (A),10.98 (A),10.3 (A),8.37 (A),9.73 (A),9.18 (A),9.48 (A),8.58 (A),8.69 (A),10.07 (A),11.56 (A),10.22 (A),11.34 (A),12.11 (A),10.85 (A),8.3 (A),8.44 (A),10.0 (A),9.54 (A),11.67 (A),12.04 (A),10.46 (A),11.34 (A),8.93 (A),10.27 (A),12.21 (A),12.82 (A),11.63 (A),9.83 (A),10.54 (A),9.6 (A),8.54 (A),9.91 (A),8.95 (A),9.11 (A),6.79 (A),10.35 (A),10.6 (A),11.34 (A),7.58 (A),11.07 (A),14.88 (A),9.0 (A),11.56 (A),9.16 (A),10.01 (A),12.1 (A),11.55 (A),14.69 (A),13.39 (A),15.46 (A),11.71 (A),8.69 (A),13.03 (A),13.39 (A),10.88 (A),9.59 (A),15.38 (A),14.81 (A),10.53 (A),12.78 (A),13.25 (A),12.55 (A),11.29 (A),7.46 (A),11.28 (A),7.07 (A),10.7 (A),11.92 (A),12.63 (A),14.72 (A),10.71 (A),13.14 (A),13.7 (A),14.58 (A),13.19 (A),11.88 (A),13.95 (A),11.82 (A),11.76 (A),11.57 (A),11.5 (A),12.74 (A),12.58 (A),14.47 (A),14.09 (A),15.03 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - La Réunion - Série arrêtée,001717219,06/03/2019 15:11,,32.9 (A),26.27 (A),28.38 (A),32.52 (A),33.51 (A),23.77 (A),32.29 (A),35.51 (A),31.82 (A),42.82 (A),40.39 (A),38.13 (A),38.33 (A),31.53 (A),33.0 (A),33.99 (A),31.3 (A),26.2 (A),34.13 (A),34.92 (A),35.8 (A),47.45 (A),42.34 (A),43.6 (A),39.13 (A),33.1 (A),34.9 (A),35.42 (A),35.94 (A),27.13 (A),34.53 (A),37.61 (A),32.89 (A),43.25 (A),44.55 (A),39.15 (A),35.39 (A),26.82 (A),40.62 (A),31.7 (A),38.09 (A),27.38 (A),35.73 (A),41.18 (A),34.03 (A),47.13 (A),42.32 (A),43.42 (A),35.98 (A),30.91 (A),38.63 (A),36.22 (A),35.96 (A),28.62 (A),35.73 (A),42.5 (A),32.37 (A),44.0 (A),43.86 (A),39.17 (A),38.84 (A),30.73 (A),37.33 (A),40.23 (A),41.8 (A),31.66 (A),40.88 (A),44.83 (A),41.24 (A),54.49 (A),47.65 (A),51.47 (A),51.7 (A),40.04 (A),45.55 (A),43.54 (A),44.75 (A),34.9 (A),47.43 (A),47.49 (A),41.48 (A),55.44 (A),50.93 (A),52.6 (A),57.05 (A),38.7 (A),46.95 (A),48.01 (A),47.45 (A),39.9 (A),52.62 (A),58.98 (A),54.96 (A),63.93 (A),62.39 (A),63.29 (A),56.73 (A),49.64 (A),55.89 (A),57.02 (A),60.54 (A),48.72 (A),60.07 (A),63.12 (A),57.02 (A),69.38 (A),55.45 (A),61.81 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - Île-de-France - Série arrêtée,001711112,06/03/2019 15:11,,2207.96 (A),2201.94 (A),2659.75 (A),2617.92 (A),2938.34 (A),2944.95 (A),2843.59 (A),2489.59 (A),2834.6 (A),2859.39 (A),2487.11 (A),2696.66 (A),2289.79 (A),2160.92 (A),2695.19 (A),2794.54 (A),2937.59 (A),3048.88 (A),3008.23 (A),2601.48 (A),2899.17 (A),2939.44 (A),2592.3 (A),2728.69 (A),2334.13 (A),2255.19 (A),2729.17 (A),2779.21 (A),2892.22 (A),3080.47 (A),2964.07 (A),2607.31 (A),2853.83 (A),2930.86 (A),2597.18 (A),2663.99 (A),2192.96 (A),2259.92 (A),2686.59 (A),2760.9 (A),2924.21 (A),3092.44 (A),2871.45 (A),2683.81 (A),2842.53 (A),2933.71 (A),2560.52 (A),2676.61 (A),2246.86 (A),2154.67 (A),2615.04 (A),2783.58 (A),2865.38 (A),2994.64 (A),2887.51 (A),2746.72 (A),2796.32 (A),2978.59 (A),2481.04 (A),2700.73 (A),2269.71 (A),2212.69 (A),2596.31 (A),2762.78 (A),2978.75 (A),3090.12 (A),3116.87 (A),2814.79 (A),2905.58 (A),2999.18 (A),2334.84 (A),2325.56 (A),2105.62 (A),2100.86 (A),2565.77 (A),2505.51 (A),2811.58 (A),2811.33 (A),2867.21 (A),2323.59 (A),2686.33 (A),2871.41 (A),2553.23 (A),2678.65 (A),2462.18 (A),2230.75 (A),2747.28 (A),2869.89 (A),2934.43 (A),3153.01 (A),3129.63 (A),2605.43 (A),2989.91 (A),3069.24 (A),2749.35 (A),2871.73 (A),2517.65 (A),2402.55 (A),2997.55 (A),2912.04 (A),3002.54 (A),3231.99 (A),3268.61 (A),2809.35 (A),3002.69 (A),3256.52 (A),2862.87 (A),2768.73 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - Centre-Val de Loire - Série arrêtée,001711107,06/03/2019 15:11,,166.87 (A),189.11 (A),249.37 (A),315.19 (A),385.39 (A),417.79 (A),511.09 (A),496.95 (A),396.51 (A),313.91 (A),226.58 (A),198.61 (A),193.6 (A),193.93 (A),249.98 (A),321.23 (A),365.13 (A),452.06 (A),528.66 (A),503.29 (A),392.35 (A),332.4 (A),242.55 (A),211.53 (A),196.0 (A),209.5 (A),263.28 (A),339.65 (A),385.62 (A),431.75 (A),510.36 (A),493.69 (A),403.36 (A),315.16 (A),250.04 (A),197.2 (A),182.36 (A),190.22 (A),272.77 (A),296.66 (A),390.09 (A),423.62 (A),505.06 (A),516.84 (A),390.29 (A),317.88 (A),242.3 (A),210.83 (A),186.32 (A),198.85 (A),250.21 (A),321.4 (A),371.99 (A),423.66 (A),484.35 (A),496.85 (A),390.09 (A),321.94 (A),225.18 (A),206.31 (A),191.06 (A),213.08 (A),253.64 (A),321.31 (A),390.61 (A),415.77 (A),517.84 (A),536.82 (A),423.8 (A),353.77 (A),223.65 (A),222.64 (A),192.42 (A),216.18 (A),276.12 (A),327.67 (A),393.65 (A),406.46 (A),524.8 (A),527.99 (A),403.36 (A),348.83 (A),239.54 (A),225.62 (A),194.93 (A),211.43 (A),260.86 (A),366.74 (A),389.31 (A),433.29 (A),535.54 (A),534.51 (A),421.78 (A),353.0 (A),258.65 (A),239.59 (A),205.02 (A),218.27 (A),279.77 (A),354.33 (A),401.12 (A),443.63 (A),521.17 (A),547.52 (A),425.0 (A),357.85 (A),255.56 (A),237.05 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
Arrivées dans l'hôtellerie - Total - Bourgogne-Franche-Comté - Série arrêtée,001739001,06/03/2019 15:11,,241.91 (A),308.87 (A),333.78 (A),414.1 (A),474.67 (A),494.51 (A),604.75 (A),578.96 (A),498.72 (A),404.99 (A),287.05 (A),266.32 (A),253.63 (A),291.21 (A),337.45 (A),408.2 (A),432.39 (A),539.87 (A),622.55 (A),593.34 (A),513.65 (A),410.69 (A),292.33 (A),274.66 (A),250.58 (A),281.45 (A),339.19 (A),376.73 (A),438.52 (A),508.29 (A),614.75 (A),578.16 (A),501.43 (A),389.55 (A),297.32 (A),265.98 (A),227.35 (A),273.67 (A),354.16 (A),361.74 (A),459.21 (A),508.75 (A),592.46 (A),590.2 (A),483.64 (A),401.55 (A),284.94 (A),271.87 (A),249.33 (A),300.85 (A),332.3 (A),397.71 (A),449.29 (A),515.26 (A),594.1 (A),614.57 (A),488.83 (A),413.08 (A),298.43 (A),291.43 (A),256.03 (A),324.48 (A),341.83 (A),406.88 (A),494.13 (A),526.67 (A),633.97 (A),636.84 (A),514.66 (A),433.8 (A),308.81 (A),298.2 (A),262.54 (A),334.37 (A),370.6 (A),388.75 (A),472.9 (A),498.89 (A),633.7 (A),601.03 (A),494.77 (A),419.63 (A),326.27 (A),306.6 (A),269.46 (A),326.99 (A),364.72 (A),433.73 (A),462.0 (A),527.19 (A),654.24 (A),613.3 (A),520.68 (A),434.71 (A),327.89 (A),319.88 (A),275.89 (A),320.86 (A),407.84 (A),411.85 (A),491.81 (A),541.05 (A),620.1 (A),622.11 (A),517.58 (A),436.29 (A),323.14 (A),305.63 (A),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O),(O)
