period;wine_price
2018-04;337
2018-05;341
2018-06;346
2018-07;348
2018-08;351
2018-09;360
2018-10;358
2018-11;364
2018-12;363
2019-01;362
2019-02;358
2019-03;354
2019-04;353
2019-05;353
2019-06;356
2019-07;358
2019-08;360
2019-09;361
2019-10;357
2019-11;350
2019-12;348
2020-01;346
2020-02;343
2020-03;339
2020-04;337
2020-05;342
2020-06;345
2020-07;348
2020-08;348
2020-09;351
2020-10;352
2020-11;354
2020-12;356
2021-01;359
2021-02;361
2021-03;365
2021-04;370
2021-05;373
2021-06;376
2021-07;381
2021-08;386
2021-09;397
2021-10;405
2021-11;415
2021-12;424
2022-01;439
2022-02;446
2022-03;455
2022-04;461
2022-05;468
2022-06;472
2022-07;474
2022-08;474
2022-09;484
2022-10;485
2022-11;482
2022-12;480
2023-01;476
2023-02;472
2023-03;473
2023-04;468
2023-05;
2023-06;
